SP_ID,oa_code,supgrp_cd,grp_cd
"6251",E00171055,D,D1
"6252",E00171054,D,D2
"6253",E00019554,F,F2
"6254",E00018387,C,C3
"6255",E00022915,D,D2
"6256",E00015359,B,B1
"6257",E00019556,F,F1
"6258",E00000585,H,H1
"6259",E00023509,D,D1
"6260",E00015358,B,B1
"6261",E00018306,G,G2
"6262",E00023588,E,E2
"6263",E00023508,D,D2
"6264",E00013358,E,E1
"6265",E00013359,F,F1
"6266",E00023589,B,B3
"6267",E00019200,A,A1
"6268",E00015350,E,E1
"6269",E00015351,E,E2
"6270",E00019281,F,F2
"6271",E00022910,D,D2
"6272",E00022991,B,B1
"6273",E00018307,G,G2
"6274",E00019550,F,F1
"6275",E00019552,F,F1
"6276",E00018386,C,C3
"6277",E00167485,D,D2
"6278",E00167484,B,B3
"6279",E00007563,F,F2
"6280",E00007560,F,F2
"6281",E00167487,D,D1
"6282",E00007562,H,H1
"6283",E00019123,F,F2
"6284",E00167481,B,B3
"6285",E00019120,F,F1
"6286",E00167480,D,D1
"6287",E00019125,F,F1
"6288",E00019122,F,F1
"6289",E00019127,F,F1
"6290",E00019124,H,H1
"6291",E00024129,D,D2
"6292",E00019126,F,F1
"6293",E00007561,H,H1
"6294",E00003556,A,A2
"6295",E00019121,F,F1
"6296",E00167079,D,D1
"6297",E00008988,E,E2
"6298",E00008909,G,G2
"6299",E00008629,B,B1
"6300",E00008908,G,G2
"6301",E00008989,E,E2
"6302",E00008628,B,B1
"6303",E00008902,B,B3
"6304",E00008983,E,E1
"6305",E00012766,A,A1
"6306",E00006707,C,C1
"6307",E00006786,C,C3
"6308",E00012767,F,F2
"6309",E00001784,H,H2
